Phrase,Frequency
anti ci,2
appearance order,2
applicable countries,2
application computational,2
application scenarios,2
application style,2
applied practice,2
approaches order,2
architectural environmental,2
architectural styles,2
architecture landscape,2
archival sources,2
around elevated,2
article challenges,2
article examines,2
article instrument,2
article investigates,2
articles made,2
arts culture,2
asa provided,2
asking whether,2
assessing sustainability,2
assessment tool,2
associated fewer,2
associated health,2
associations structural,2
attain sustainable,2
attention many,2
attributes environments,2
attributes unclear,2
authoritarian tactics,2
authorities private,2
authorized sources,2
automatically generate,2
available sentinel,2
back natural,2
balance supply,2
bare vegetation,2
bearing capacities,2
beauty live,2
became mono,2
become increasingly,2
become major,2
become vital,2
behavior stakeholders,2
behavioral intention,2
behaviors residents,2
behind eu,2
beijing example,2
beijing tianjin,2
benefit indicator,2
benefit private,2
benefits regeneration,2
better understand,2
bi network,2
biodiversity active,2
biodiversity conservation,2
black feminist,2
block associated,2
block freeway,2
bogota val,2
bottom private,2
break degree,2
buenos aires,2
business operators,2
ca marko,2
cad technical,2
calculated initial,2
came dramatic,2
cannot ignored,2
capacities foundations,2
capacity demand,2
capital accumulation,2
capital examined,2
capital governance,2
capital logic,2
capital theory,2
car parking,2
carbon goals,2
carbon offset,2
cases shanghai,2
categorized five,2
causing mis,2
causing properties,2
cell units,2
census tract,2
center gravity,2
centers end,2
centers identified,2
central delta,2
central shanghai,2
challenges problems,2
changed bare,2
changed form,2
characteristics evaluation,2
characteristics influencing,2
characteristics shape,2
characteristics subjects,2
chinese context,2
circuit theory,2
circuits flexible,2
citizen science,2
citizens well,2
civil defence,2
class residents,2
classification block,2
climate modeling,2
climate zone,2
cluster characteristics,2
co di,2
co utilizing,2
coalition theory,2
coastal regions,2
coastal turk,2
coefficient site,2
collaborative experiments,2
collaborative governance,2
collective memories,2
com deep,2
com efficiency,2
com interaction,2
comfort arid,2
commercial advertisement,2
commercial infrastructure,2
commercial protection,2
commercial residential,2
commercial rev,2
communication technologies,2
communities ineffective,2
communities realizing,2
communities residents,2
comparative experiments,2
compared non,2
compared odi,2
compared previous,2
compared well,2
comprehensive benefits,2
comprehensive control,2
comprehensive runoff,2
computation integrated,2
computational decision,2
con displacement,2
con theory,2
concentrated cooling,2
concentrations air,2
concepts must,2
conceptual providing,2
concerned indicators,2
conduct dynamic,2
conducted among,2
conducted context,2
conflict levels,2
conflicts among,2
conservation historical,2
conservation zone,2
considered crucial,2
considered effective,2
constraints ecological,2
construct indicator,2
constructed levels,2
construction boom,2
construction cost,2
construction dust,2
construction evaluation,2
construction haze,2
construction reset,2
construction stage,2
construction towns,2
consumer behavioral,2
contemporary educational,2
context favors,2
contributed prices,2
contributes ongoing,2
contribution warming,2
control flooding,2
control group,2
convenience comfort,2
cool spots,2
cooling trend,2
copies full,2
copyright referenced,2
core beijing,2
correlation coefficient,2
corresponding counter,2
cost living,2
could contribute,2
could help,2
could useful,2
county pennsylvania,2
covers ui,2
creation resident,2
criteria decision,2
critical influence,2
critical role,2
critical success,2
crowd activities,2
crucial aspect,2
cultural historical,2
cultural monuments,2
cultural physical,2
cultural preservation,2
culture led,2
current issues,2
current morphological,2
cyber offers,2
cycle regeneration,2
dallas international,2
dani man,2
dar sal,2
daytime nighttime,2
de aba,2
de inventor,2
decades special,2
decay improve,2
decision deep,2
decision future,2
decision governance,2
decision provides,2
decision sustainable,2
decision trial,2
deep reinforcement,2
deep territory,2
deep understanding,2
deeply influenced,2
degree residents,2
degrees ts,2
del dynamics,2
del ra,2
del units,2
demand management,2
demand metro,2
demolition construction,2
demolition housing,2
demolition reconstruction,2
demonstrating effectiveness,2
demonstrating role,2
den optimal,2
den processes,2
density function,2
density mainly,2
density mega,2
depth interviews,2
detect ui,2
detected random,2
detection detect,2
deteriorated due,2
develop novel,2
developed en,2
developments formal,2
develops intra,2
di block,2
differentiation reset,2
difficult obtain,2
dilapidated housing,2
dimension metric,2
dimensions safety,2
direct investment,2
discourse practice,2
displacement substitution,2
district chong,2
district nanjing,2
diverse types,2
division adjustment,2
drainage focus,2
dramatic content,2
dramatic transformation,2
drawing field,2
dual carbon,2
due combination,2
due pollution,2
due rapidly,2
dynamics eleven,2
dynamics heights,2
dynamics quasi,2
dynamics spaces,2
dynamics transformation,2
early developed,2
earthquake landlord,2
eco systemic,2
ecological condition,2
ecological constraints,2
ecological construction,2
ecological economic,2
ecological security,2
ecological values,2
economic belt,2
economic districts,2
economic incomes,2
economic investment,2
economic perspective,2
economic sectors,2
economic via,2
economic yielded,2
economically developed,2
economy ce,2
economy environment,2
economy regime,2
educational socio,2
effective cooling,2
effective range,2
effectively contribute,2
efficiency ten,2
elderly facilities,2
elements rest,2
elevated spaces,2
eleven spanish,2
else ltd,2
emergence informal,2
emergency events,2
emergency vehicle,2
emission efficiency,2
emotional intentions,2
emphasis residential,2
emphasizes importance,2
emphasizes optimization,2
